depth,iterations,l2_leaf_reg,learning_rate,random_seed,actual iterations,test-Logloss-mean,Train accuracy,Test accuracy
9,42,9,0.04,1,41,0.48539423484092276,0.813321647677476,0.5331010452961672
9,42,9,0.04,1,41,0.4909304683215255,0.813321647677476,0.5331010452961672
9,46,5,0.03,2,45,0.49501353749031557,0.8206251825883728,0.5714285714285714
6,1060,5,0.0275,4,780,0.4084187518971836,0.8606485539000877,0.5842044134727061
6,1060,5,0.0275,4,780,0.4084187518971836,0.8606485539000877,0.5842044134727061
6,1060,5,0.0275,4,780,0.4084187518971836,0.8606485539000877,0.5842044134727061
6,1500,3,0.035,1,674,0.4095230068492944,0.8726263511539585,0.5842044134727061
